j,vdac,v1,v2,time
0,0.0,0.0799633,0.0519661,0.39978
5,0.0646555,0.117981,0.0549874,0.80191
10,0.129361,0.173976,0.0789562,1.20416
15,0.194067,0.233998,0.116974,1.60587
20,0.258773,0.291957,0.156956,2.00745
25,0.323479,0.352987,0.196988,2.40903
30,0.388185,0.410995,0.234955,2.81064
35,0.45289,0.477967,0.274987,3.21219
40,0.517596,0.536983,0.320961,3.6138
45,0.582302,0.596956,0.36195,4.01535
50,0.647008,0.654964,0.398961,4.4169
55,0.711714,0.715994,0.440956,4.81848
60,0.77642,0.775967,0.478974,5.22003
65,0.841126,0.834982,0.516992,5.62164
70,0.905832,0.895962,0.557981,6.11841
75,0.970537,0.953971,0.596956,6.52051
80,1.03524,1.01596,0.634973,6.92181
85,1.09995,1.06797,0.676969,7.32339
90,1.16465,1.13399,0.717958,7.72495
95,1.22936,1.19698,0.755976,8.12653
100,1.29407,1.25998,0.795957,8.52808
105,1.35877,1.32498,0.841982,8.92966
110,1.42348,1.38496,0.880956,9.33121
115,1.48818,1.44599,0.919981,9.73279
120,1.55289,1.50596,0.959963,10.1344
125,1.6176,1.56598,0.992995,10.5359
130,1.6823,1.62595,1.04199,10.9375
135,1.74706,1.69796,1.08097,11.3391
140,1.81171,1.74499,1.12996,11.8397
145,1.87642,1.80497,1.15997,12.2408
150,1.94112,1.86398,1.19995,12.6421
155,2.00588,1.93095,1.23999,13.0437
160,2.07054,1.97698,1.28495,13.4452
165,2.13524,2.04596,1.32096,13.8468
170,2.19995,2.10397,1.36396,14.2483
175,2.2647,2.17497,1.40198,14.6499
180,2.32936,2.21898,1.44795,15.0515
185,2.39407,2.27996,1.48098,15.453
190,2.45877,2.33198,1.51598,15.8546
195,2.52353,2.40897,1.55798,16.2561
200,2.58818,2.46099,1.60299,16.6577
205,2.65289,2.52096,1.63598,17.0592
210,2.7176,2.58496,1.67495,17.5582
215,2.78235,2.661,1.71498,17.9603
220,2.84701,2.67097,1.76,18.3626
225,2.91171,2.67097,1.78996,18.7645
230,2.97642,2.67097,1.83498,19.166
235,3.04117,2.67097,1.87395,19.5676
240,3.10583,2.67097,1.91796,19.9691
245,3.17054,2.67097,1.944,20.3707
250,3.23524,2.67097,1.97597,20.7722
